Date,StartTime,EndTime,City,MinT,MaxT,AvgT
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,嘉義縣,28.0,30.0,29.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,嘉義縣,23.0,28.0,25.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,嘉義縣,23.0,27.0,25.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,新北市,26.0,30.0,28.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,新北市,20.0,26.0,23.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,新北市,20.0,22.0,21.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,嘉義市,28.0,31.0,29.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,嘉義市,22.0,28.0,25.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,嘉義市,22.0,27.0,24.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,新竹縣,26.0,29.0,27.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,新竹縣,20.0,26.0,23.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,新竹縣,20.0,23.0,21.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,新竹市,26.0,29.0,27.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,新竹市,20.0,26.0,23.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,新竹市,20.0,23.0,21.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,臺北市,27.0,31.0,29.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,臺北市,20.0,27.0,23.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,臺北市,20.0,22.0,21.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,臺南市,28.0,30.0,29.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,臺南市,25.0,28.0,26.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,臺南市,25.0,29.0,27.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,宜蘭縣,26.0,30.0,28.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,宜蘭縣,21.0,26.0,23.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,宜蘭縣,21.0,22.0,21.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,苗栗縣,26.0,30.0,28.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,苗栗縣,21.0,26.0,23.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,苗栗縣,21.0,24.0,22.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,雲林縣,28.0,31.0,29.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,雲林縣,23.0,28.0,25.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,雲林縣,23.0,26.0,24.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,花蓮縣,26.0,29.0,27.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,花蓮縣,22.0,26.0,24.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,花蓮縣,22.0,24.0,23.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,臺中市,28.0,31.0,29.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,臺中市,23.0,28.0,25.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,臺中市,23.0,25.0,24.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,臺東縣,28.0,31.0,29.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,臺東縣,23.0,28.0,25.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,臺東縣,23.0,27.0,25.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,桃園市,26.0,30.0,28.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,桃園市,20.0,26.0,23.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,桃園市,20.0,22.0,21.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,南投縣,28.0,31.0,29.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,南投縣,22.0,28.0,25.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,南投縣,22.0,26.0,24.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,高雄市,29.0,31.0,30.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,高雄市,25.0,29.0,27.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,高雄市,25.0,29.0,27.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,金門縣,23.0,28.0,25.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,金門縣,19.0,23.0,21.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,金門縣,19.0,23.0,21.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,屏東縣,30.0,33.0,31.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,屏東縣,24.0,30.0,27.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,屏東縣,24.0,31.0,27.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,基隆市,26.0,29.0,27.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,基隆市,20.0,26.0,23.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,基隆市,20.0,22.0,21.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,澎湖縣,25.0,29.0,27.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,澎湖縣,23.0,25.0,24.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,澎湖縣,23.0,26.0,24.5
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,彰化縣,28.0,31.0,29.5
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,彰化縣,23.0,28.0,25.5
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,彰化縣,23.0,25.0,24.0
2026-04-23,2026-04-23 12:00:00,2026-04-23 18:00:00,連江縣,19.0,21.0,20.0
2026-04-23,2026-04-23 18:00:00,2026-04-24 06:00:00,連江縣,17.0,19.0,18.0
2026-04-24,2026-04-24 06:00:00,2026-04-24 18:00:00,連江縣,17.0,19.0,18.0
